JEE Main %,JEE Advanced %,Mock Avg %,School Board,HSC %,Attempts,Coaching,Study Hour Bin,Family Income,Parent Education,Location Type,Peer Pressure Level,Mental Health,Admission,Dropout
70.05,60.66,72.2,CBSE,87.65,2,Allen,Low,High,HSC,Semi-Urban,High,Yes,No,0
45.29,65.47,68.14,State,90.51,1,FIITJEE,Very Low,High,PG,Rural,Medium,Yes,No,0
87.04,97.72,69.84,CBSE,74.71,1,Self Study,High,High,PG,Semi-Urban,High,No,Yes,0
89.08,67.55,89.16,CBSE,90.62,2,FIITJEE,Medium,Mid,PG,Urban,Medium,No,No,0
71.97,63.44,39.7,CBSE,84.53,2,Allen,Medium,Low,PG,Semi-Urban,High,No,Yes,0
64.93,62.56,61.54,CBSE,80.86,2,Local,Low,High,Graduate,Urban,Low,No,No,0
63.65,59.98,65.35,State,89.56,2,Self Study,Very High,High,Graduate,Urban,Low,Yes,No,0
79.88,43.89,68.9,ICSE,75.99,1,Local,Very Low,Mid,PG,Rural,High,No,Yes,1
90.99,73.17,73.61,ICSE,61.8,2,Local,Medium,Low,Graduate,Urban,Medium,Yes,No,1
45.87,68.57,79.6,CBSE,83.75,2,Local,Medium,Mid,HSC,Urban,Medium,No,No,0
88.65,83.44,56.49,CBSE,69.26,2,FIITJEE,Low,High,Graduate,Rural,Medium,No,Yes,0
68.16,61.68,84.47,State,77.16,2,Allen,Medium,Mid,SSLC,Rural,Low,Yes,Yes,0
73.37,45.18,87.91,State,78.95,1,FIITJEE,High,Mid,HSC,Semi-Urban,High,Yes,Yes,0
84.22,74.89,87.79,CBSE,72.96,1,Local,Very Low,Mid,PG,Semi-Urban,High,No,No,1
78.56,60.09,83.56,State,70.81,1,Self Study,Medium,Low,HSC,Rural,Medium,No,Yes,0
66.51,64.16,66.64,CBSE,63.06,2,FIITJEE,Low,Mid,Graduate,Semi-Urban,Medium,No,Yes,0
58.26,59.44,58.87,State,66.84,1,Local,Low,High,HSC,Rural,High,No,Yes,0
69.91,44.35,60.8,ICSE,75.78,2,Local,High,Low,HSC,Semi-Urban,Low,No,No,1
76.4,98.67,73.5,State,78.29,1,Self Study,Low,High,PG,Rural,High,Yes,Yes,0
71.66,65.29,57.36,ICSE,85.77,1,Local,Medium,Mid,SSLC,Urban,Low,No,Yes,0
91.1,60.27,67.49,CBSE,79.83,1,FIITJEE,Very High,Low,HSC,Semi-Urban,High,Yes,No,1
72.97,37.58,80.44,CBSE,72.04,2,FIITJEE,Low,Mid,SSLC,Urban,Medium,No,Yes,0
96.57,70.78,57.27,CBSE,85.16,2,Self Study,High,Low,Graduate,Urban,Medium,Yes,Yes,0
75.54,89.49,70.2,State,50.0,1,FIITJEE,Low,Low,HSC,Urban,High,Yes,No,1
56.99,62.55,74.77,CBSE,72.14,1,Local,Very Low,Mid,HSC,Semi-Urban,Medium,No,No,0
87.2,59.13,60.31,CBSE,81.83,2,Local,Medium,Low,HSC,Semi-Urban,High,Yes,No,1
58.52,64.66,76.42,CBSE,70.5,1,Local,Low,Mid,SSLC,Rural,Low,No,Yes,0
79.3,90.32,56.11,ICSE,83.25,1,Allen,Medium,Low,HSC,Urban,Medium,No,Yes,0
40.94,62.0,52.72,State,86.0,2,Self Study,Medium,Mid,HSC,Urban,Low,Yes,Yes,0
77.06,34.31,42.46,State,76.71,1,FIITJEE,Very Low,Low,HSC,Urban,Medium,Yes,Yes,0
64.81,71.12,63.92,ICSE,84.07,2,Local,High,Mid,HSC,Urban,High,Yes,Yes,0
48.16,62.95,61.54,CBSE,76.48,2,Allen,High,Mid,HSC,Rural,Medium,No,Yes,0
65.51,91.57,79.06,CBSE,66.88,1,Self Study,Medium,Mid,Graduate,Urban,Low,No,Yes,0
66.16,57.54,59.56,ICSE,58.88,2,Allen,Low,Low,Graduate,Semi-Urban,Low,Yes,Yes,0
71.8,58.65,73.78,CBSE,53.84,2,Allen,Medium,Mid,Graduate,Urban,Medium,Yes,Yes,0
85.57,50.63,58.94,CBSE,69.32,2,Allen,Medium,Mid,PG,Semi-Urban,High,No,No,0
53.87,52.63,64.42,ICSE,73.34,2,Allen,Medium,High,Graduate,Semi-Urban,Medium,Yes,Yes,0
73.0,57.15,64.65,ICSE,68.65,2,Allen,Low,High,Graduate,Rural,Medium,No,No,0
63.41,80.03,51.97,ICSE,61.35,2,Allen,Medium,Mid,PG,Rural,Medium,No,Yes,0
99.42,48.81,58.01,CBSE,70.82,1,FIITJEE,Medium,Low,SSLC,Semi-Urban,Low,No,Yes,0
95.96,62.99,46.45,CBSE,74.63,1,Allen,Medium,Mid,HSC,Semi-Urban,Low,No,No,0
81.13,81.62,60.48,State,56.63,1,FIITJEE,High,Mid,PG,Urban,Medium,No,No,0
74.21,58.78,46.44,ICSE,62.22,2,Local,High,High,Graduate,Semi-Urban,High,No,Yes,0
81.7,60.35,46.66,ICSE,83.76,2,Local,Medium,Low,PG,Semi-Urban,Medium,Yes,No,1
57.54,88.97,74.56,CBSE,95.12,1,FIITJEE,Low,High,SSLC,Semi-Urban,High,Yes,No,0
87.1,100.0,65.3,CBSE,59.28,2,Local,Low,Low,PG,Urban,High,No,No,1
80.11,84.0,60.93,CBSE,83.39,1,Self Study,High,High,PG,Rural,Low,Yes,Yes,0
53.14,67.87,69.42,CBSE,76.23,2,Allen,High,Mid,SSLC,Rural,High,Yes,Yes,0
54.74,58.26,64.11,ICSE,67.14,1,Local,Very Low,Low,Graduate,Urban,Low,No,Yes,0
93.4,51.4,73.26,CBSE,77.78,2,Local,High,Mid,SSLC,Urban,Low,No,No,0
57.02,60.93,83.85,ICSE,79.77,2,FIITJEE,Very High,Mid,HSC,Rural,High,No,Yes,0
52.07,91.73,57.02,ICSE,76.56,2,FIITJEE,Medium,High,PG,Semi-Urban,High,Yes,Yes,0
89.31,73.9,82.84,State,77.75,1,Self Study,High,Low,Graduate,Rural,High,Yes,No,1
42.61,88.94,84.21,CBSE,57.93,2,Local,Low,Low,SSLC,Rural,Medium,No,Yes,0
82.8,66.79,53.83,ICSE,79.43,2,Local,Medium,High,HSC,Rural,Medium,Yes,Yes,0
100.0,68.78,68.66,CBSE,68.67,2,Allen,Medium,Mid,Graduate,Semi-Urban,Medium,No,No,0
81.77,73.87,63.97,CBSE,89.47,1,FIITJEE,High,Low,PG,Urban,Medium,Yes,No,1
57.78,85.0,36.73,State,81.79,1,Local,Low,Mid,Graduate,Semi-Urban,Low,No,No,0
81.75,81.02,49.67,State,64.09,2,Local,Medium,Low,PG,Urban,Low,Yes,Yes,0
84.41,88.05,62.92,CBSE,87.77,2,FIITJEE,Medium,High,PG,Semi-Urban,High,No,No,0
93.47,78.23,47.76,CBSE,79.9,1,Local,High,Mid,HSC,Rural,Medium,No,Yes,0
77.86,52.81,63.86,ICSE,90.38,1,FIITJEE,Medium,Mid,PG,Semi-Urban,Medium,Yes,Yes,0
